,ItemID,Sentiment,SentimentText
300102,300114,1,@martinxo Thanks Mart. Will also work up appetite for rare opportunity for pub lunch with wife. 
300103,300115,1,"@martinxo You know the prayer is coming on better than the meditation, but asked someone yesterday to help me and he said he would "
300104,300116,0,"@martisunshine no, i can't even get a new doctor. "
300105,300117,1,@Martius21 the last time we jammed was like hmm feb? hahhaha 4 mths  i'm so psyched
300106,300118,0,"@martiy Awww, can't even get to the kitchen?  I will carry you there Glorificus."
300107,300119,0,"@MartMcD I meant it in an endearing way, not a harsh way  x"
300108,300120,1,"@martokus aaa yes, Bing. Chandler Bing  too sad its just Windows Live with another name "
300109,300121,1,@MartsVD  fair enough still think was a dumb move ..but i aint one 2 speak.. guess wat !! we going on holiday sooon !  party!
300110,300122,1,"@MartsVD  fart , did u check your facebook inbox.....thought would help u get through your studying and get u amped 4 the hols "
300111,300123,1,@MartukaPop Lol... In good party we always made some &quot;crazy&quot; things 
300112,300124,0,@MaRty_McFlyy omgggg thats scary!!! im happy with my simple one year relationship  dont scare meeee! gawd im sorrrrrry!
300113,300125,1,@Marty_OBrien how do you know? were you there old man? Maybe they were just lazy slobs who chose to use their hands? 
300114,300126,0,@marty_party really wish i was in London to go! But the harsh reality is I'm in rainy Belfast! 
300115,300127,1,@marty0518 Sometimes? and just a little cryptic? LOL! I am just messing with you.  You are a good sport.
300116,300128,0,@marty4484 ok gonna try 2 sleep im in pain bt ill try tho    luv u
300117,300129,1,@martybtv be nice. I don't have cable. besides they can go to library. 
300118,300130,1,"@MartyBTV ooh captain crunch is good,it doesnt hurt the roof of my mouth...then agian I havent had it in awhile "
300119,300131,0,@MartyBTV Well I learned I'm really a light-weight when it comes to tequilla shots lol...I was sick all saturday 
300120,300132,0,@MartyBTV you are so mean to me 
300121,300133,1,@MartyHolcomb Hello and thanks for the re-tweet. 
300122,300134,0,"@MartyJB123 yeah, but then i don't get the cheap pick up price. plus i only have my debit card on me "
300123,300135,1,"@martylandau Better than a...  Oh, never mind.  "
300124,300136,0,@martylyn oh yeah I get you now - I thinkmy dad has taken them back because I can't find them 
300125,300137,1,@martymankins  Like I don't already have TONS of GNR... .  my hubby is a heavy metal guy. I don't have a choice. 
300126,300138,0,@martymcnabb I am lost. Please help me find a good home. 
300127,300139,1,@martyndarkly And it's an excuse to get a Wii.  
300128,300140,1,@martyndarkly The band or the biotech weapon? 
300129,300141,1,@martynpepperell really?!!  That's fricken great to hear!!  I had a fab time   How's you? x
300130,300142,0,"@MartySmithESPN I feel your pain, I picked him too. Had the fastest car in practice. "
300131,300143,1,"@martywittrock Aw shucks, Marty! Thanks! I'll try to live up to your hype.  #FollowFriday"
300132,300144,1,@marul69 you're so cheery deary   I'd love to borrow some of that enthusiasm.
300133,300145,0,@maruloves aww pobrecita  i hope you get better
300134,300146,0,@marurokz i like paramore 
300135,300147,1,"@marusula Just saw your beer episode and thought it was great! Keep 'em coming, please "
300136,300148,1,@marut7 okay... Wishing u success in future! 
300137,300149,1,@Marutib Congrats.. and Happy birthday buddy 
300138,300150,1,@MaruxaMurphy It was gr8 being part of this event! Thx for the invite.  #TwitMaster
300139,300151,1,@Marv_Carbonado quality not quantity always! 
300140,300152,1,"@Marvalus Girl, you and I both!   I am right there with you."
300141,300153,0,@marvee Od!!!  I don't whether to laugh or cry.
300142,300154,1,@Marvel - Does the 1st show count? That would be the midnight show Thurs night/Fri morning 
300143,300155,1,@Marvelgirl89 Hey ya!! Im alrite..   Just needed to get some things off my chest..
300144,300156,1,"@marvellous888 You're in sf, how can you possibly be bored! "
300145,300157,1,"@marvellousmissy It's ok. I'm dressing up as a strumpet, for a themed party. It'll look like I'm wearing my pimp's coat "
300146,300158,1,@marvelmichelle Thanks for the add! 
300147,300159,0,@marvelouscherry are you serious? they couldn't make an exception for *1/2* credit? that's ridiculous! 
300148,300160,0,"@marvelvscapcom Damn it ! Everytime i check your page i am 3 minutes too late   I certainly will never ever get a redeem code, will i..."
300149,300161,0,"@marvelvscapcom Damn it! Everytime i check your page i am 3 minutes too late  I certainly will never ever get a ps3 redeem code, will i.."
300150,300162,0,@marvelvscapcom doesnt work already 
300151,300163,0,@marvelvscapcom ugh for some reason the codes never work 4 me 
300152,300164,1,@MarvetBritto your words of inspiration are definitely a GREAT way to start my morning   Thanks
300153,300165,1,"@MarvinTowler  i think i'm going to ponder that for a bit, marvin ... thanks "
300154,300166,1,@marvlove the best part is that there is one just 5 minutes away from home 
300155,300167,1,@MarvMilly  u better!! workin all day everyday-- man u already know this.
300156,300168,1,@MarvMilly You know I will add that page baby  Did u see my pics yet
300157,300169,0,@Marwan_vs_Shark I was a little sick today so I stayed in all day! 
300158,300170,0,@McChickie I can understand that 
300159,300171,0,@McChk you are a much better twitterer than I am 
300160,300172,0,@mccleany you okayy?  &lt;3
300161,300173,0,@mcclendorino awwwwwwwwwwwwww my bad  you can borrow my roller blades in the meantime? lolz
300162,300174,0,@mcclendorino Too bad homeslice is dead now... 
300163,300175,1,@mcclorybrin catch up already! I sent u a message 
300164,300176,0,@mcclorybrin why are you sad    ??
300165,300177,0,@mcclorypatrick @mcclorybrin I wanna call u guys so bad right now but can't 
300166,300178,0,@mccmarianne [[[[[[[[hugs]]]]]]]] yeah it was a tough day ... I just don't see it getting easier  I guess we have to deal the best we can
300167,300179,1,"@mccmarianne ha, don't be sorry... I have an odd sense of humor... Like @sunnybuns said... Quite the visual. "
300168,300180,1,"@mccmarianne Hi, its Chris, but thats okay "
300169,300181,1,@mccmarianne I see that. They say laughter is good for the soul. Our souls are perfect tonight in that case. 
300170,300182,1,@mccmarianne Thanks.  I haven't been around much either.  Having 3 girls to take care of is exhausting..hugs to you. 
300171,300183,0,@mccmarianne ugh. Mix e get swollen all the time and I got tonsilitis last year and they still won't take mine out 
300172,300184,1,@mccombs1 Ha Mr Fairytale  He should get twitter..
300173,300185,1,@McCordAnnalynne do you tweet back to your fans? Just wondering.  
300174,300186,1,"@McCore hey you, my weekend was great how was yours?the weather was great! yaay I love this idea!Let's go "
300175,300187,0,@McCore I did  they said 10pm! so I missed it... but hey I heard it at 9:45 pm and I LOVE it!!  do u like it?
300176,300188,1,@mccraemalcolm - what does your poster look like? mine is the one from the OOPS era with the blue car  i want one from the circus tour
300177,300189,1,@mccraigmccraig Possibly. The fact that it's a language I know moderately well may bias the results though. 
300178,300190,1,@mccraigmccraig That's a good way of putting it. 
300179,300191,1,"@mccraigmccraig, @drsnooks, @DRMacIver: but how else are u supposed to tell keywords from fields? capitalization makes sense, just do it "
300180,300192,0,@McCripple It turns out that all of those Sophia pages were fake I think... 
300181,300193,1,"@mcctheater Kron has no e on the end, just fyi. "
300182,300194,0,@mcdaigle the world just doesn't appreciate spontaneity anymore. 
300183,300195,1,@McDayDreamer ah thats great 
300184,300196,1,@McDayDreamer haha cool . Im listening to greys music 
300185,300197,1,@McDayDreamer oh haha I get plenty of that here  yea I dont like hot n sticky places lol
300186,300198,1,@McDayDreamer So who's your date for that party? 
300187,300199,1,@mcdeal you missed absolutely nothing! 
300188,300200,0,@mcdent probably but I never use bluetooth.  Dunno if I can take the slow speed as well.  Only have a class 2 sd card 
300189,300201,1,@mcdermott_billy Thank U so much 4 following me on twttr; I hope U find it as exciting as I do!  Looking forward 2 yr tweets! 
300190,300202,0,@mcdesara My life has legitimately been LSAT work... no fun! 
300191,300203,0,@mcdesaro My life has been all LSAT and a little tv. 
300192,300204,0,@McDizz90  swan flu was the best...
300193,300205,0,@mcdoeli07 could you print out directions from your place to the wedding? my printer doesn't work 
300194,300206,1,@MCDONALDHEATHER it could be that i'm just a lil behind on this 1 but...is any1 going to speak on the &quot;speidi's&quot; music videos?? 
300195,300207,1,@marwilliamson Hi Marianne! L?ve You Honey! Lori 
300196,300208,1,@marwynne split the difference and walk the housework. Maybe you could loose it somewhere 
300197,300209,1,@marxamod heheheh! Were londonfolk terrified of being howdied? Embarrassing Dad FTW! 
300198,300210,1,"@marxer yeah man of course. bringing my husband and the crew as well so i advise get your tickets, chop chop "
300199,300211,0,@marxiey lol i realized....the market's rally was crusH]\ed this week 
300200,300212,0,@marxinurface I would've but my phone died. 
300201,300213,0,@mary_alli_miki kids graduating 2012 dont have to take SAT subject tests... 
300202,300214,0,@mary_boonyindee  I wish your pic would load 
300203,300215,1,"@Mary_ganzerla OMG mary, your post is huuuuuuuuuuuuuuge, but it's really funny too "
300204,300216,1,@mary_hl Hey!  Vote for @TomFelton! He's currently in 3rd place! http://bit.ly/votetom spread the word! Vote as many times as you can 
300205,300217,1,@mary_joane Helllooooooooooooo 
300206,300218,0,@mary_kate_olsen FUNNY! ...yet so so true. N those cds TOO. &quot;Brother 4 sale&quot; n what not. U pimped me as a child in the 90s.  LOL!
300207,300219,0,@mary_kate_olsen ooo fun!!!! I'd love to be their next victim!!! too bad it was fake fur  I'll cut up my real fur for ur next portrait!!!
300208,300220,1,"@mary_moo I somehow missed your tweet last night! OMG, wish I were there too! But I'm stoked to hear you're having such an awesome time! "
300209,300221,0,@Mary_R_Roberts Terrible Migraine think it is going to keep me home today -- intense pain making me ill.  Wanted to meet u today.
300210,300222,0,@Mary_Rarick 
300211,300223,0,@Mary_Red yo estoy en K en particular  buuaaaa
300212,300224,1,"@Mary_Roberts Hey Mary!  Thanks for the follow!  I friended you on TQ.net.  Sorry, I have fallen behind in my friending "
300213,300225,0,"@mary_russell Miss Russell, do we know how many times your memoirs can be downloaded from library? That is a concern with Kindle. "
300214,300226,1,"@Mary_Spiro Maybe you just follow eloquent people  Saw your article BTW, thank you "
300215,300227,0,@Mary_Victoria ~  sounds like a fabulous day for you~ My day went well  ~ home now in a hot house    2 more days till parts arrive for AC
300216,300228,1,@Mary_Victoria ~ nite ~ sleep well and pleasant dreams  
300217,300229,1,@Mary_Victoria 11:00 PM eastern! 
300218,300230,1,@Mary_Victoria nite lovey 
300219,300231,1,@Mary_Victoria they get a lot of them!  They tweet too!!   @budsthrubullies
300220,300232,1,@Mary_Victoria you can do it. My sis went to University of Florida and got it 
300221,300233,0,@Mary0348 * Noooooooo 
300222,300234,0,@mary1gr that's all I can remember =( oh wait this guy comes on a horse.. Lol.. Sorry I couldn't be more help 
300223,300235,0,@Mary4568 yeah i do boys make me so mad 
300224,300236,0,@mary808 Aw 
300225,300237,1,@Maryaah ????? ?? ??? ????? ?? ????? .. ???? ??? 
300226,300238,1,@maryaflower McDonalds coffee beat starbucks by a mile in a blind taste test 
300227,300239,1,"@maryag Okey dokey, will take a photo of self next time I get dressed to go outside  Meanwhile heres just me: http://twitpic.com/6teyw"
300228,300240,1,"@maryag What a fun job you have, constant schedule changes "
300229,300241,1,@maryahitani No I don't want a mr perfection... Besides that doesn't even exist.. btw  xx
300230,300242,0,@MaryAlice__ Sad 
300231,300243,1,"@MaryAliceHale HI, Alice! "
300232,300244,1,@MaryAliceHale rainbow flip flops lol 
300233,300245,0,@McDroll Just waiting for seats to be declared. Generally looks like a tory victory  ppl also turning to extremes
300234,300246,1,"@McENtire1255 Glad you had a good sleepover hun, hope you figured that IPOD out "
300235,300247,1,@McEtheCoolest yhhhh.. it is exactly how i imagined it while reading the new moon book 
300236,300248,1,@mcevoy1rachael i know it sucks when she goes to london. where do you live? 
300237,300249,1,@mcevoy1rachael its a quote by John Barrymore - an American actor. 
300238,300250,1,@mcevoy1rachael lol nice. well i won a comp over the radio because they thought i was miley cyrus and i went to america  i sound like her2
300239,300251,1,@mcevoy1rachael Yup I cant wait either the HM season 3 CD/DVD comes out next month in July. I saw Miley in Oct 10 sing those HM 3 songs 
300240,300252,0,@mcewenrobbie Oh I didn`t check Twitter  It was your birthday Rob?Sorry.  Happy Birthdaaay!Hope you are fit very soon again to win races!
300241,300253,1,@McFan09 they should come back to the uk and do ucattip another 30 times  @tommcfly x
300242,300254,0,@McFiestypants No cellular phone.  BUT house phone!  Do I trust posting it on here? Sure!  978 208 0074.
300243,300255,1,@mcfilan will young murdered that song! Westlife all the way 
300244,300256,0,@mcfiretruck oh NO!!! that's like one of my worst fears. 
300245,300257,1,"@Mcfixit Ok, done. My friends are backing away as well. Truce applies to them as well. Nice to meet ya. "
300246,300258,0,@mcflayeee 
300247,300259,1,@mcfly_news you two are cute  x
300248,300260,0,"@McFly_xX awww, I miss her too! "
300249,300261,1,@McFly_xX have fun! hope he gonna poop this time! 
300250,300262,1,@McFly_xX It's automaticly recording the whole seson. Yes Max is awesome 
300251,300263,1,@mcfly4life oooooh thank you 
300252,300264,0,@mcfly4life stupid girl! grr  (Me) :S :@ i said to me in first time i think! :S
300253,300265,1,@mcfly4life thanks 
300254,300266,1,@McFLYAddiction  I follow to @dougielovers
300255,300267,1,@McFLYAddiction corcovado!  #fletcherday
300256,300268,1,"@mcflyangel07 YES!!  and yeah, I saw the trailer this morning, it's unbelivable, can't wait to see the whole movie in nov! yeah; AMAZING&lt;3"
300257,300269,0,@McFLYAreHotness r u going too follow me lol  too ? i g2g now lol ill talk to u 2omorrow x
300258,300270,1,@mcflychloe94 great il add you next time im on  x
300259,300271,0,@mcflychloe94 I'll probs text you being like DIEEE! hahaha (: I wish McFly were there though  this train is SO busy!! X
300260,300272,1,"@mcflyedinburgh I have, I have  It's amazing."
300261,300273,1,@McflyEngland haha yeah  but of course i love McFly more  lol
300262,300274,0,@McFlyest hahaha ok that makes me feel a little better...bug not really cuz I'm I'm the bed bf myself 
300263,300275,1,@McFLYFan_Katie &quot;yeah it has some of our live tracks on it.&quot; about the phone  x
300264,300276,1,"@McFLYFan_Katie Erm, not sure yet, weather looks abit shit :L what about you?  xx"
300265,300277,1,@McFLYFan_Katie hi! hmm Yeah I love McFly  who's your favorite?
300266,300278,0,@McFLYFan_Katie Idk yet.. I'll have to learn for my maths test on Friday  But maybe our teacher's gonna move the date D I wanna ...
300267,300279,1,"@McFLYFan_Katie idk, now it's finally white. Looks terrible, though. I like it colourful D Lookin forward to paint it yellow/orange. "
300268,300280,1,@McFLYFan_Katie im good thanks  and youu?
300269,300281,0,@McFLYFan_Katie just been doin homework &amp; sunbathing all day  dont wanna go to school tomorra  x
300270,300282,1,"@maryalmighty they do? alrighty, checheck namin this week.  thanksss!"
300271,300283,1,@maryam glad you like the super charge me cookies! 
300272,300284,1,@maryammaruf They look awesome! Mine cost Â£17 so... Bit of a difference there. 
300273,300285,1,@maryamshari I'll be ur snuggle bunny 
300274,300286,1,@maryamthebunny Especially busy day at work then. 
300275,300287,0,@MaryaMurphy  my local friends suck. It will bite going alone.
300276,300288,1,@maryancheta I voted for ya TOO  every day! you are on my VOTING list 
300277,300289,0,@maryangel200 I noticed... I'm bored 
300278,300290,1,@Maryanimated haha nice! &amp; I just turned in my app to your work 
300279,300291,0,@Maryannead Honey soaked... 
300280,300292,1,@Maryannead Is it possible there is &quot;Quantum&quot; boredom resulting in the pursuit multiple positions?  glad I finally settled on&quot;1&quot;position
300281,300293,1,"@maryannehobbs Hey  I wanted to see if I could send you some music still  Also if you have time, would you follow me please"
300282,300294,0,"@maryannjoy Sorry, he only does &quot;Danger Zone&quot; with non-celebs "
300283,300295,1,@MaryAxiotis I know.  TweetDeck is one of many Twiiter client application/software on your computer to manage Twitter better.
300284,300296,0,@MaryAxiotis that is truly sad 
300285,300297,1,@marybabysteps Good morning!! &amp; What a beautiful one it is!! 
300286,300298,0,@marybabysteps I meant Pittsburgh. I didn't go to college there.  I moved from there when I was 15
300287,300299,1,@marybabysteps My youngest is 2.5. He is so cute. Yours is at a wonderful age. 
300288,300300,1,@marybej Hey what's up? My name is Caleb and I'm your newest follower!!! 
300289,300301,0,@marybeth494 at the Drs office waiting to be told bp is still too high 
300290,300302,1,@marybethchapman http://twitpic.com/6rprp - She resembles my Asian Princess 
300291,300303,1,@MaryBethChapman My dog's been dragging kittens outside and hiding them under the porch.  At least she's not eating them 
300292,300304,1,"@MaryBethChapman woo-hoo!!! Great job, Shaoey!! I know God gave Maria a window for that &amp; she was running the bases with you!! "
300293,300305,1,"@MaryBethGanzel that's a great start, you will have to take pics of them all together! "
300294,300306,1,"@MarybethHicks My son doesn't like either of them (a little babyish), but the smiley is better.  7th grader - hope honesty is good.  "
300295,300307,1,@marybethtyson I was just thinking about you. Check out James Otto &amp; Jason Aldean if you haven't already! 
300296,300308,0,"@MaryBethune oh no! with everything that happened today, i forgot we were going dress shopping for the opera tomorrow. "
300297,300309,0,@MaryBoomBoom Maria where have u been lately?? missing your posts on the forum huni!! :/ 
300298,300310,1,@MaryBostwick the new enV touch...its the improved voyager. sooo stoked 
300299,300311,1,"@Marybozigian Ah but don't forget about my good friend, Karma.  I'll send her their way right now!"
300300,300312,0,@maryc0urtney dudeeee Robos been calling me a cat cause that's exactly what I said! No girls day.. totally at home cramping and dying 
300301,300313,1,"@MaryCateOMalley Like the Simpsons? That's like asking, &quot;so you like breathing?&quot; "
300302,300314,1,@MaryCateOMalley u seem to have some amazing 3'ers lol...keep it coming  cheers!
300303,300315,1,"@maryccd http://twitpic.com/7ieoa - Wooow is so cool, hopefully this time not be stolen. Bye Mary "
300304,300316,0,"@Marycherry044 awww! Miss u too! Been workin mama...takin care of foo, he's sick  might go 2cinespace 2marro! When we havin a sleepover??"
300305,300317,0,@kaitoukage ugh I hate that. We always try to watch the food but we end going out etc.. Need to shop like everyday. 
300306,300318,0,"@kaitt32 yea the roses, i want a cute one now too!!!! "
300307,300319,0,@kaitt32 yeah :| two of dem  HOWS SPAIN MY WORLDY BUG?!?!
300308,300320,1,@kaitybug117 bootcamp at corey beach? where's that and what's it all about? beach bootcamp is an amazing concept  
300309,300321,1,@Kaitydid4 ohhhh i did!  they were yummylicious!!
300310,300322,0,@kaitywilliams where do u get surge? It's not avbl here! 
300311,300323,0,"@KaivaD and yeah- it's sad that Ashley had to go, she was cool, but the others were great also! - stupid people who voted! "
300312,300324,1,@KaiyaLynn You know what makes you tired?  yep thats it Think I am going to watch that video 
300313,300325,1,"@kaiyun thanks to you, brandi, and weird-hair-guy (i forgot his name...starts with an e?) for visiting me! it brightened my day/night "
300314,300326,1,@KaizenHawaii @zenxacred  Sounds like a call for an intervention. 
300315,300327,1,"@KaizenHawaii why yes.  i'm quite tired of waiting for 3G and apps for the G1. though, i just received the unlock code for my G1 ;)"
300316,300328,1,@Kaizerin I am so excited about the H-word. 
300317,300329,1,@Kaizerinc haha Nice! Love the enthusiasm mang! I'll send you some of the shots I capture so you can critique them for me 
300318,300330,0,@Kaizersose86 keep me updated. I don't have Telemundo 
300319,300331,1,"@Kajitsu I'm really into Jille &amp; Zipper lately, anything fun and colorful - and picked up Cutie because it came with a free gift    "
300320,300332,0,@kajolica Ahhhhh shit ahaha. Idk though cause all that nuts gonna get stuck in ur throat and lemonades just gonna make it worse 
